berufsfeld,count
Altenpflege,20440
Angehörige der regulären Streitkräfte in sonstigen Rängen,35
Angehörige gesetzgebender Körperschaften,22
Arzt- und Praxishilfe,23684
"Aus- und Trockenbau, Isolierung, Zimmerei, Glaserei",8320
Bau- und Transportgeräteführung,16165
"Bauplanung und -überwachung, Architektur",10246
"Berg-, Tagebau und Sprengtechnik",223
Bestattungswesen,237
Biologie,1300
Bodenverlegung,3105
"Buch- und Kunstantiquitäten, Musikfachhandel",277
"Bühnen- und Kostümbildnerei, Requisite",77
Büro und Sekretariat,38353
Chemie,6105
"Drucktechnik, Buchbinderei",2115
Einkauf und Vertrieb,22234
Elektrotechnik,23275
Energietechnik,35503
Ernährungs- und Gesundheitsberatung,847
"Erziehung, Sozialarbeit, Heilerziehungspflege",36632
Fahr- und Sportunterricht an außerschulischen Bildungseinrichtungen,1448
"Fahrzeug-, Luft-, Raumfahrt- und Schiffbautechnik",29300
Fahrzeugführung im Eisenbahnverkehr,729
Fahrzeugführung im Flugverkehr,32
Fahrzeugführung im Schiffsverkehr,223
Fahrzeugführung im Straßenverkehr,19342
Farb- und Lacktechnik,4911
Feinwerk- und Werkzeugtechnik,5238
Fischwirtschaft,45
Floristik,1111
"Forstwirtschaft, Jagdwirtschaft, Landschaftspflege",569
Fototechnik und Fotografie,139
Gartenbau,8459
Gastronomie,19986
Gebäudetechnik,5652
Geisteswissenschaften,320
"Geologie, Geografie und Meteorologie",370
Geschäftsführung und Vorstand,489
Gesellschaftswissenschaften,1557
Getränkeherstellung,348
"Gewerbe, Gesundheitsaufsicht, Desinfektion",518
Handel,17427
Hauswirtschaft und Verbraucherberatung,4966
Hochbau,14380
Holzbe- und -verarbeitung,10662
Hotellerie,9692
Human- und Zahnmedizin,13072
"IT-Netzwerktechnik, -Administration, -Organisation",12727
"IT-Systemanalyse, -Anwendungsberatung und -Vertrieb",5734
Immobilienwirtschaft und Facility-Management,4018
Industrielle Glasherstellung,798
Industrielle Keramikherstellung,311
Informatik,15064
"Innenarchitektur, Raumausstattung",784
Kaufleute - Verkehr und Logistik,11091
"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",18631
"Krankenpflege, Rettungsdienst und Geburtshilfe",31100
Kunsthandwerk und bildende Kunst,180
Kunsthandwerkliche Keramik- und Glasgestaltung,52
Kunsthandwerkliche Metallgestaltung,594
Kunststoff- und Kautschukherstellung,7525
Körperpflege,6400
"Lagerwirtschaft, Post und Zustellung, Güterumschlag",52323
Landwirtschaft,1837
Lebensmittel- und Genussmittelherstellung,13249
Leder- und Pelzherstellung,735
Lehr- und Forschungstätigkeit an Hochschulen,984
Lehrtätigkeit an allgemeinbildenden Schulen,1243
Lehrtätigkeit an außerschulischen Bildungseinrichtungen,1511
Lehrtätigkeit berufsbildender Fächer und betriebliche Ausbildung,1958
"Maler, Stuckateure, Bautenschutz",9085
Maschinenbau- und Betriebstechnik,43107
Mathematik und Statistik,286
Mechatronik und Automatisierungstechnik,17264
"Medien-, Dokumentations- und Informationsdienste",723
"Medizin-, Orthopädie- und Rehatechnik",7166
Medizinisches Laboratorium,2357
Metallbau und Schweißtechnik,21291
Metallbearbeitung,27152
Metallerzeugung,1180
Metalloberflächenbehandlung,2014
Moderation und Unterhaltung,46
Museumstechnik und -management,54
"Musik-, Gesang-, Dirigententätigkeiten",32
Musikinstrumentenbau,86
"Naturstein- und Mineralaufbereitung, Baustoffherstellung",1575
Nichtärztliche Therapie und Heilkunde,12507
"Objekt-, Personen-, Brandschutz, Arbeitssicherheit",9173
Offiziere,24
Papier- und Verpackungstechnik,3098
Personalwesen und -dienstleistung,10274
Pferdewirtschaft,330
Pharmazie,2031
Physik,1540
"Polizei- und Kriminaldienst, Gerichts- und Justizvollzug",126
Produkt- und Industriedesign,150
"Psychologie, nichtärztliche Psychotherapie",1784
"Rechnungswesen, Controlling und Revision",25029
"Rechtsberatung, -sprechung und -ordnung",7424
Redaktion und Journalismus,1098
Reinigung,20393
"Schauspiel, Tanz und Bewegungskunst",35
Servicekräfte im Personenverkehr,575
Softwareentwicklung und Programmierung,8542
Speisenzubereitung,19953
Sprach- und Literaturwissenschaften,96
Steuerberatung,12396
Technische Forschung und Entwicklung,2792
Technische Mediengestaltung,1568
Technische Produktionsplanung und -steuerung,11627
"Technischer Betrieb des Eisenbahn-, Luft- und Schiffsverkehrs",332
"Technisches Zeichnen, Konstruktion und Modellbau",8309
Textiltechnik und -produktion,986
Textilverarbeitung,1716
"Theater-, Film- und Fernsehproduktion",195
Theologie und Gemeindearbeit,124
Tiefbau,8411
Tiermedizin und Tierheilkunde,377
Tierpflege,363
Tierwirtschaft,693
Tourismus und Sport,2946
Umweltmanagement und -beratung,694
Umweltschutztechnik,536
Unternehmensorganisation und -strategie,23989
Unteroffiziere mit Portepee,100
Unteroffiziere ohne Portepee,62
Ver- und Entsorgung,9482
"Veranstaltungs-, Kamera-, Tontechnik",1112
Veranstaltungsservice und -management,1158
Verkauf (ohne Produktspezialisierung),112927
"Verkauf Bekleidung, Elektro, KFZ, Hartwaren",10445
Verkauf von Lebensmitteln,15016
Verkauf von drogerie- und apothekenüblichen Waren,3605
Verlags- und Medienwirtschaft,300
Vermessung und Kartografie,1070
Versicherungs- und Finanzdienstleistungen,15152
Verwaltung,7817
Weinbau,143
Werbung und Marketing,10175
Wirtschaftswissenschaften,53
Öffentlichkeitsarbeit,288
Überwachung und Steuerung des Verkehrsbetriebs,1094
"Überwachung, Wartung Verkehrsinfrastruktur",634
