berufsfeld,count
Altenpflege,20400
Angehörige der regulären Streitkräfte in sonstigen Rängen,79
Angehörige gesetzgebender Körperschaften,19
Arzt- und Praxishilfe,23818
"Aus- und Trockenbau, Isolierung, Zimmerei, Glaserei",8468
Bau- und Transportgeräteführung,17042
"Bauplanung und -überwachung, Architektur",10719
"Berg-, Tagebau und Sprengtechnik",209
Bestattungswesen,215
Biologie,1246
Bodenverlegung,3116
"Buch- und Kunstantiquitäten, Musikfachhandel",246
"Bühnen- und Kostümbildnerei, Requisite",65
Büro und Sekretariat,37396
Chemie,6209
"Drucktechnik, Buchbinderei",2124
Einkauf und Vertrieb,21460
Elektrotechnik,23302
Energietechnik,36351
Ernährungs- und Gesundheitsberatung,884
"Erziehung, Sozialarbeit, Heilerziehungspflege",35985
Fahr- und Sportunterricht an außerschulischen Bildungseinrichtungen,1524
"Fahrzeug-, Luft-, Raumfahrt- und Schiffbautechnik",29091
Fahrzeugführung im Eisenbahnverkehr,568
Fahrzeugführung im Flugverkehr,19
Fahrzeugführung im Schiffsverkehr,216
Fahrzeugführung im Straßenverkehr,19495
Farb- und Lacktechnik,5163
Feinwerk- und Werkzeugtechnik,5369
Fischwirtschaft,40
Floristik,1012
"Forstwirtschaft, Jagdwirtschaft, Landschaftspflege",545
Fototechnik und Fotografie,147
Gartenbau,8495
Gastronomie,19810
Gebäudetechnik,5460
Geisteswissenschaften,309
"Geologie, Geografie und Meteorologie",354
Geschäftsführung und Vorstand,385
Gesellschaftswissenschaften,1507
Getränkeherstellung,343
"Gewerbe, Gesundheitsaufsicht, Desinfektion",550
Handel,16349
Hauswirtschaft und Verbraucherberatung,5010
Hochbau,14952
Holzbe- und -verarbeitung,11095
Hotellerie,9763
Human- und Zahnmedizin,13694
"IT-Netzwerktechnik, -Administration, -Organisation",12120
"IT-Systemanalyse, -Anwendungsberatung und -Vertrieb",5651
Immobilienwirtschaft und Facility-Management,4025
Industrielle Glasherstellung,806
Industrielle Keramikherstellung,706
Informatik,14551
"Innenarchitektur, Raumausstattung",762
Kaufleute - Verkehr und Logistik,11195
"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",18827
"Krankenpflege, Rettungsdienst und Geburtshilfe",31040
Kunsthandwerk und bildende Kunst,146
Kunsthandwerkliche Keramik- und Glasgestaltung,52
Kunsthandwerkliche Metallgestaltung,604
Kunststoff- und Kautschukherstellung,7758
Körperpflege,6242
"Lagerwirtschaft, Post und Zustellung, Güterumschlag",52618
Landwirtschaft,1844
Lebensmittel- und Genussmittelherstellung,12716
Leder- und Pelzherstellung,733
Lehr- und Forschungstätigkeit an Hochschulen,1068
Lehrtätigkeit an allgemeinbildenden Schulen,1428
Lehrtätigkeit an außerschulischen Bildungseinrichtungen,1443
Lehrtätigkeit berufsbildender Fächer und betriebliche Ausbildung,1997
"Maler, Stuckateure, Bautenschutz",9702
Maschinenbau- und Betriebstechnik,43813
Mathematik und Statistik,273
Mechatronik und Automatisierungstechnik,17312
"Medien-, Dokumentations- und Informationsdienste",674
"Medizin-, Orthopädie- und Rehatechnik",6990
Medizinisches Laboratorium,2374
Metallbau und Schweißtechnik,21888
Metallbearbeitung,28047
Metallerzeugung,1260
Metalloberflächenbehandlung,2039
Moderation und Unterhaltung,48
Museumstechnik und -management,53
"Musik-, Gesang-, Dirigententätigkeiten",39
Musikinstrumentenbau,85
"Naturstein- und Mineralaufbereitung, Baustoffherstellung",1686
Nichtärztliche Therapie und Heilkunde,12985
"Objekt-, Personen-, Brandschutz, Arbeitssicherheit",9702
Offiziere,19
Papier- und Verpackungstechnik,3129
Personalwesen und -dienstleistung,10456
Pferdewirtschaft,336
Pharmazie,2035
Physik,1533
"Polizei- und Kriminaldienst, Gerichts- und Justizvollzug",131
Produkt- und Industriedesign,134
"Psychologie, nichtärztliche Psychotherapie",1745
"Rechnungswesen, Controlling und Revision",24704
"Rechtsberatung, -sprechung und -ordnung",7410
Redaktion und Journalismus,1084
Reinigung,20112
"Schauspiel, Tanz und Bewegungskunst",14
Servicekräfte im Personenverkehr,503
Softwareentwicklung und Programmierung,8456
Speisenzubereitung,19595
Sprach- und Literaturwissenschaften,81
Steuerberatung,11957
Technische Forschung und Entwicklung,2848
Technische Mediengestaltung,1553
Technische Produktionsplanung und -steuerung,11591
"Technischer Betrieb des Eisenbahn-, Luft- und Schiffsverkehrs",308
"Technisches Zeichnen, Konstruktion und Modellbau",8093
Textiltechnik und -produktion,957
Textilverarbeitung,1862
"Theater-, Film- und Fernsehproduktion",237
Theologie und Gemeindearbeit,100
Tiefbau,8529
Tiermedizin und Tierheilkunde,380
Tierpflege,314
Tierwirtschaft,707
Tourismus und Sport,3850
Umweltmanagement und -beratung,603
Umweltschutztechnik,558
Unternehmensorganisation und -strategie,22673
Unteroffiziere mit Portepee,199
Unteroffiziere ohne Portepee,146
Ver- und Entsorgung,9534
"Veranstaltungs-, Kamera-, Tontechnik",1070
Veranstaltungsservice und -management,1154
Verkauf (ohne Produktspezialisierung),98394
"Verkauf Bekleidung, Elektro, KFZ, Hartwaren",10023
Verkauf von Lebensmitteln,13803
Verkauf von drogerie- und apothekenüblichen Waren,3302
Verlags- und Medienwirtschaft,290
Vermessung und Kartografie,1053
Versicherungs- und Finanzdienstleistungen,14513
Verwaltung,7587
Weinbau,133
Werbung und Marketing,10369
Wirtschaftswissenschaften,47
Öffentlichkeitsarbeit,357
Überwachung und Steuerung des Verkehrsbetriebs,1130
"Überwachung, Wartung Verkehrsinfrastruktur",603
