berufsfeld,count
Altenpflege,20533
Angehörige der regulären Streitkräfte in sonstigen Rängen,35
Angehörige gesetzgebender Körperschaften,23
Arzt- und Praxishilfe,23756
"Aus- und Trockenbau, Isolierung, Zimmerei, Glaserei",8362
Bau- und Transportgeräteführung,16329
"Bauplanung und -überwachung, Architektur",10322
"Berg-, Tagebau und Sprengtechnik",224
Bestattungswesen,238
Biologie,1320
Bodenverlegung,3116
"Buch- und Kunstantiquitäten, Musikfachhandel",277
"Bühnen- und Kostümbildnerei, Requisite",77
Büro und Sekretariat,38634
Chemie,6133
"Drucktechnik, Buchbinderei",2120
Einkauf und Vertrieb,22367
Elektrotechnik,23552
Energietechnik,35736
Ernährungs- und Gesundheitsberatung,856
"Erziehung, Sozialarbeit, Heilerziehungspflege",36861
Fahr- und Sportunterricht an außerschulischen Bildungseinrichtungen,1462
"Fahrzeug-, Luft-, Raumfahrt- und Schiffbautechnik",29462
Fahrzeugführung im Eisenbahnverkehr,738
Fahrzeugführung im Flugverkehr,32
Fahrzeugführung im Schiffsverkehr,225
Fahrzeugführung im Straßenverkehr,19417
Farb- und Lacktechnik,4959
Feinwerk- und Werkzeugtechnik,5270
Fischwirtschaft,45
Floristik,1113
"Forstwirtschaft, Jagdwirtschaft, Landschaftspflege",568
Fototechnik und Fotografie,140
Gartenbau,8497
Gastronomie,20127
Gebäudetechnik,5703
Geisteswissenschaften,321
"Geologie, Geografie und Meteorologie",374
Geschäftsführung und Vorstand,490
Gesellschaftswissenschaften,1575
Getränkeherstellung,349
"Gewerbe, Gesundheitsaufsicht, Desinfektion",522
Handel,17435
Hauswirtschaft und Verbraucherberatung,4991
Hochbau,14425
Holzbe- und -verarbeitung,10752
Hotellerie,9736
Human- und Zahnmedizin,13103
"IT-Netzwerktechnik, -Administration, -Organisation",12787
"IT-Systemanalyse, -Anwendungsberatung und -Vertrieb",5765
Immobilienwirtschaft und Facility-Management,4036
Industrielle Glasherstellung,802
Industrielle Keramikherstellung,313
Informatik,15131
"Innenarchitektur, Raumausstattung",785
Kaufleute - Verkehr und Logistik,11157
"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",18731
"Krankenpflege, Rettungsdienst und Geburtshilfe",31210
Kunsthandwerk und bildende Kunst,180
Kunsthandwerkliche Keramik- und Glasgestaltung,53
Kunsthandwerkliche Metallgestaltung,598
Kunststoff- und Kautschukherstellung,7576
Körperpflege,6415
"Lagerwirtschaft, Post und Zustellung, Güterumschlag",52695
Landwirtschaft,1848
Lebensmittel- und Genussmittelherstellung,13323
Leder- und Pelzherstellung,737
Lehr- und Forschungstätigkeit an Hochschulen,989
Lehrtätigkeit an allgemeinbildenden Schulen,1253
Lehrtätigkeit an außerschulischen Bildungseinrichtungen,1524
Lehrtätigkeit berufsbildender Fächer und betriebliche Ausbildung,1964
"Maler, Stuckateure, Bautenschutz",9113
Maschinenbau- und Betriebstechnik,43426
Mathematik und Statistik,288
Mechatronik und Automatisierungstechnik,17358
"Medien-, Dokumentations- und Informationsdienste",730
"Medizin-, Orthopädie- und Rehatechnik",7190
Medizinisches Laboratorium,2372
Metallbau und Schweißtechnik,21453
Metallbearbeitung,27356
Metallerzeugung,1186
Metalloberflächenbehandlung,2025
Moderation und Unterhaltung,46
Museumstechnik und -management,54
"Musik-, Gesang-, Dirigententätigkeiten",32
Musikinstrumentenbau,86
"Naturstein- und Mineralaufbereitung, Baustoffherstellung",1576
Nichtärztliche Therapie und Heilkunde,12560
"Objekt-, Personen-, Brandschutz, Arbeitssicherheit",9249
Offiziere,24
Papier- und Verpackungstechnik,3124
Personalwesen und -dienstleistung,10337
Pferdewirtschaft,333
Pharmazie,2043
Physik,1547
"Polizei- und Kriminaldienst, Gerichts- und Justizvollzug",128
Produkt- und Industriedesign,151
"Psychologie, nichtärztliche Psychotherapie",1804
"Rechnungswesen, Controlling und Revision",25210
"Rechtsberatung, -sprechung und -ordnung",7467
Redaktion und Journalismus,1105
Reinigung,20556
"Schauspiel, Tanz und Bewegungskunst",35
Servicekräfte im Personenverkehr,573
Softwareentwicklung und Programmierung,8604
Speisenzubereitung,20076
Sprach- und Literaturwissenschaften,96
Steuerberatung,12438
Technische Forschung und Entwicklung,2811
Technische Mediengestaltung,1577
Technische Produktionsplanung und -steuerung,11754
"Technischer Betrieb des Eisenbahn-, Luft- und Schiffsverkehrs",337
"Technisches Zeichnen, Konstruktion und Modellbau",8349
Textiltechnik und -produktion,995
Textilverarbeitung,1724
"Theater-, Film- und Fernsehproduktion",199
Theologie und Gemeindearbeit,125
Tiefbau,8432
Tiermedizin und Tierheilkunde,380
Tierpflege,367
Tierwirtschaft,693
Tourismus und Sport,2960
Umweltmanagement und -beratung,700
Umweltschutztechnik,544
Unternehmensorganisation und -strategie,24074
Unteroffiziere mit Portepee,100
Unteroffiziere ohne Portepee,62
Ver- und Entsorgung,9542
"Veranstaltungs-, Kamera-, Tontechnik",1119
Veranstaltungsservice und -management,1166
Verkauf (ohne Produktspezialisierung),113178
"Verkauf Bekleidung, Elektro, KFZ, Hartwaren",10496
Verkauf von Lebensmitteln,15080
Verkauf von drogerie- und apothekenüblichen Waren,3621
Verlags- und Medienwirtschaft,300
Vermessung und Kartografie,1074
Versicherungs- und Finanzdienstleistungen,15196
Verwaltung,7894
Weinbau,143
Werbung und Marketing,10292
Wirtschaftswissenschaften,53
Öffentlichkeitsarbeit,293
Überwachung und Steuerung des Verkehrsbetriebs,1096
"Überwachung, Wartung Verkehrsinfrastruktur",637
